
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 607, time 26.957418203353882 
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
[RL] Updates 640, num timesteps 10502144, FPS 522, time 20108.775132894516 
Weights 0.532_0.468, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5636.0/5650.9, min/max reward 5572.1/5683.2
[RL] Updates 645, num timesteps 10584064, FPS 522, time 20272.713206768036 
Weights 0.532_0.468, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5658.6/5660.0, min/max reward 5621.2/5716.1
[RL] Updates 650, num timesteps 10665984, FPS 521, time 20442.059420585632 
Weights 0.532_0.468, last 10 training episodes: mean/median length 904.4/1000.0, mean/median reward 5149.1/5711.6, min/max reward 146.8/5733.0
[RL] Updates 655, num timesteps 10747904, FPS 521, time 20611.81009721756 
Weights 0.532_0.468, last 10 training episodes: mean/median length 675.7/1000.0, mean/median reward 3799.5/5689.1, min/max reward 277.8/5750.9
[RL] Updates 660, num timesteps 10829824, FPS 521, time 20783.63915991783 
Weights 0.532_0.468, last 10 training episodes: mean/median length 935.5/1000.0, mean/median reward 5313.9/5682.0, min/max reward 3300.3/5756.7
[RL] Updates 665, num timesteps 10911744, FPS 520, time 20957.605747699738 
Weights 0.532_0.468, last 10 training episodes: mean/median length 879.4/1000.0, mean/median reward 5014.9/5719.0, min/max reward 327.3/5769.2
[RL] Updates 670, num timesteps 10993664, FPS 520, time 21129.708202123642 
Weights 0.532_0.468, last 10 training episodes: mean/median length 826.6/1000.0, mean/median reward 4716.6/5749.1, min/max reward 302.8/5779.7
[RL] Updates 675, num timesteps 11075584, FPS 520, time 21298.5518386364 
Weights 0.532_0.468, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5788.5/5796.5, min/max reward 5715.8/5828.9
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
[RL] Updates 640, num timesteps 10502144, FPS 522, time 20108.378395318985 
Weights 0.833_0.167, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 7365.2/7371.0, min/max reward 7301.3/7440.1
[RL] Updates 645, num timesteps 10584064, FPS 522, time 20273.49408888817 
Weights 0.833_0.167, last 10 training episodes: mean/median length 808.7/1000.0, mean/median reward 5879.6/7329.2, min/max reward 511.6/7402.9
[RL] Updates 650, num timesteps 10665984, FPS 521, time 20442.446687698364 
Weights 0.833_0.167, last 10 training episodes: mean/median length 888.4/1000.0, mean/median reward 6519.8/7406.4, min/max reward 2156.4/7465.2
[RL] Updates 655, num timesteps 10747904, FPS 521, time 20614.006988286972 
Weights 0.833_0.167, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 7398.1/7390.6, min/max reward 7339.0/7461.1
[RL] Updates 660, num timesteps 10829824, FPS 521, time 20784.806730031967 
Weights 0.833_0.167, last 10 training episodes: mean/median length 807.7/1000.0, mean/median reward 5946.9/7473.7, min/max reward 954.7/7523.1
[RL] Updates 665, num timesteps 10911744, FPS 520, time 20958.410450935364 
Weights 0.833_0.167, last 10 training episodes: mean/median length 851.3/1000.0, mean/median reward 6267.5/7413.0, min/max reward 3081.6/7512.8
[RL] Updates 670, num timesteps 10993664, FPS 520, time 21130.718735933304 
Weights 0.833_0.167, last 10 training episodes: mean/median length 748.7/1000.0, mean/median reward 5493.1/7459.8, min/max reward 518.7/7532.4
[RL] Updates 675, num timesteps 11075584, FPS 519, time 21302.87228488922 
Weights 0.833_0.167, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 7490.3/7496.0, min/max reward 7440.2/7544.9
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
[RL] Updates 640, num timesteps 10502144, FPS 522, time 20108.20874118805 
Weights 0.833_0.167, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 7293.1/7299.5, min/max reward 7229.9/7358.2
[RL] Updates 645, num timesteps 10584064, FPS 522, time 20271.52460885048 
Weights 0.833_0.167, last 10 training episodes: mean/median length 997.9/1000.0, mean/median reward 7355.5/7367.5, min/max reward 7125.8/7439.8
[RL] Updates 650, num timesteps 10665984, FPS 521, time 20441.28890299797 
Weights 0.833_0.167, last 10 training episodes: mean/median length 884.9/1000.0, mean/median reward 6486.3/7357.7, min/max reward 1427.4/7445.0
[RL] Updates 655, num timesteps 10747904, FPS 521, time 20613.380294561386 
Weights 0.833_0.167, last 10 training episodes: mean/median length 945.0/1000.0, mean/median reward 7025.1/7457.2, min/max reward 3907.3/7484.7
[RL] Updates 660, num timesteps 10829824, FPS 521, time 20785.118540287018 
Weights 0.833_0.167, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 7455.0/7460.7, min/max reward 7385.3/7521.9
[RL] Updates 665, num timesteps 10911744, FPS 520, time 20961.251046180725 
Weights 0.833_0.167, last 10 training episodes: mean/median length 865.8/1000.0, mean/median reward 6392.3/7457.5, min/max reward 1905.4/7544.0
[RL] Updates 670, num timesteps 10993664, FPS 520, time 21135.332091093063 
Weights 0.833_0.167, last 10 training episodes: mean/median length 686.5/966.0, mean/median reward 5031.6/7225.1, min/max reward 371.1/7531.1
[RL] Updates 675, num timesteps 11075584, FPS 519, time 21310.20366883278 
Weights 0.833_0.167, last 10 training episodes: mean/median length 910.1/1000.0, mean/median reward 6785.6/7485.0, min/max reward 453.1/7548.9
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
